f_property_type,f_neighbourhood,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,n_days_since_rv,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_baby,d_stove,d_microwave,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
Entire rental unit,Jing'an District,100,100,15,2,1,1,67,4.87,20,1.42,1,1416,1,1,1,1,1,1,0,1,0,0,0,0,1,385,22282799,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,2,1,1,17,4.65,20,0.53,1,965,1,1,1,1,1,1,0,1,0,0,0,0,1,378,22285348,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,2,1,1,19,5,20,0.39,1,1454,1,1,1,1,1,1,1,1,0,1,1,0,1,381,22287368,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,2,1,1,15,4.8,20,0.35,1,1282,1,1,1,1,1,1,1,1,0,1,1,0,1,361,22289110,Jing'an District,Entire rental unit
Entire rental unit,Hongkou District,90,100,4,2,1,1,5,5,5,0.1,1,1454,0,1,1,0,1,1,1,1,0,0,0,0,1,360,22289324,Hongkou District,Entire rental unit
Entire rental unit,Pudong,100,100,27,5,2,2,0,NA,13,NA,1,NA,0,1,1,1,1,1,1,1,1,0,1,0,1,663,22295474,Pudong,Entire rental unit
Entire rental unit,Jing'an District,100,100,7,3,1,1,181,4.96,1,3.7,1,1465,0,1,1,0,1,1,0,1,0,0,0,0,1,418,22297143,Jing'an District,Entire rental unit
Entire rental unit,Pudong,100,100,7,2,1,1,3,5,5,0.06,1,1439,0,1,1,0,1,1,0,1,0,0,0,0,0,272,22298451,Pudong,Entire rental unit
Entire rental unit,Jing'an District,100,100,1,2,1,1,15,4.8,1,0.31,1,1464,0,1,1,0,1,1,1,1,0,0,1,0,1,320,22309355,Jing'an District,Entire rental unit
Entire loft,Jing'an District,97,100,8,4,1,2,78,4.84,10,1.61,1,1454,0,1,1,1,1,1,1,1,0,0,0,0,1,491,22329849,Jing'an District,Entire loft
Entire rental unit,Xuhui District,75,100,1,2,1,1,32,4.97,1,0.66,1,1453,0,1,1,0,1,1,1,1,0,1,1,0,1,449,22379000,Xuhui District,Entire rental unit
Entire rental unit,Pudong,97,100,32,2,1,1,25,4.64,44,0.57,1,1326,1,1,1,1,1,1,1,1,0,1,1,0,1,272,22379675,Pudong,Entire rental unit
Entire loft,Jiading District,100,100,29,4,2,2,9,4.89,33,0.19,1,1443,1,1,1,1,1,1,1,1,0,1,1,1,0,401,22379798,Jiading District,Entire loft
Entire rental unit,Hongkou District,90,100,31,4,2,2,8,4.75,31,0.16,1.5,1454,0,1,1,0,1,1,1,1,0,0,1,0,1,406,22383618,Hongkou District,Entire rental unit
Entire loft,Xuhui District,99,100,19,2,1,1,33,4.64,19,0.68,1,1455,1,1,1,1,1,1,0,1,0,0,0,0,1,418,22384513,Xuhui District,Entire loft
Entire serviced apartment,Xuhui District,100,100,17,3,1,2,5,4.4,14,0.1,1,1450,0,1,1,1,1,1,0,1,0,0,1,0,1,498,22390038,Xuhui District,Entire serviced apartment
Entire rental unit,Jing'an District,100,100,15,2,1,1,20,4.85,20,0.42,1,1415,1,1,1,1,1,1,1,1,0,1,1,0,1,369,22402185,Jing'an District,Entire rental unit
Entire serviced apartment,Jing'an District,100,97,6,2,1,1,67,4.85,6,1.5,1,1335,1,1,1,1,1,1,1,1,0,1,1,0,0,279,22403116,Jing'an District,Entire serviced apartment
Entire serviced apartment,Jing'an District,100,100,18,2,1,1,19,4.79,2,0.41,1,1400,0,1,1,1,1,1,0,1,0,0,0,0,1,448,22416235,Jing'an District,Entire serviced apartment
Entire loft,Hongkou District,100,100,4,6,1,3,233,4.92,1,4.87,1,1435,1,1,1,1,1,1,0,1,0,0,0,0,1,830,22421490,Hongkou District,Entire loft
Entire rental unit,Xuhui District,NA,NA,1,5,2,3,37,4.78,1,0.82,1,1357,0,1,0,1,1,1,1,1,0,1,1,0,1,584,22438755,Xuhui District,Entire rental unit
Entire rental unit,Huangpu District,100,100,3,3,2,2,102,4.91,1,2.22,1.5,1380,1,1,1,1,1,1,1,1,0,0,1,0,1,444,22439042,Huangpu District,Entire rental unit
Entire serviced apartment,Huangpu District,100,100,6,5,1,2,22,4.14,5,0.46,1,1432,0,1,1,0,1,1,0,1,0,0,0,0,0,599,22446725,Huangpu District,Entire serviced apartment
Entire rental unit,Xuhui District,100,87,13,2,1,1,145,4.83,17,3.01,1,1446,1,1,1,0,1,1,1,1,0,1,1,0,1,740,22456542,Xuhui District,Entire rental unit
Entire rental unit,Putuo District,90,NA,2,2,2,2,4,4.5,2,0.08,1.5,1454,0,1,1,0,1,0,1,1,0,0,1,0,1,308,22469817,Putuo District,Entire rental unit
Entire rental unit,Hongkou District,100,100,2,2,1,1,264,4.75,1,5.52,1.5,1435,0,1,1,0,1,1,1,0,0,0,0,0,1,349,22527297,Hongkou District,Entire rental unit
